longitude,latitude,VV,VH,NDVI
-7.680595679,49.8115825,0.18921563,0.004056737,0.036130536
-7.590764151,49.8115825,0.1822337,0.003705406,0.032497678
-7.500932622,49.8115825,0.17130576,0.003559991,0.013444049
-7.411101094,49.8115825,0.16246413,0.003621374,0.025815489
-7.321269566,49.8115825,0.15163626,0.003344925,0.015291837
-7.231438037,49.8115825,0.14333758,0.003418413,0.047307134
-7.141606509,49.8115825,0.13605878,0.003395416,0.055402752
-7.05177498,49.8115825,0.12897225,0.003296398,0.046347212
-6.961943452,49.8115825,0.12152828,0.003200958,0.031237949
-6.872111924,49.8115825,0.10911834,0.003150999,0.060792953
-6.782280395,49.8115825,0.10099999,0.003092284,0.100894
-6.692448867,49.8115825,0.08864433,0.003166657,0.045751635
-6.602617338,49.8115825,0.07818022,0.003295755,0.04385965
-6.51278581,49.8115825,0.07982731,0.002842494,0.035591274
-6.422954281,49.8115825,0.07691544,0.002582498,0.0543131
-6.333122753,49.8115825,0.07100108,0.00229733,0.050724637
-6.243291225,49.8115825,0.06955213,0.002195483,0.027600849
-6.153459696,49.8115825,0.06754786,0.002093798,0.21495327
-6.063628168,49.8115825,0.06329692,0.002024057,0.03353057
-5.973796639,49.8115825,0.060964428,0.001984897,0.029987609
-5.883965111,49.8115825,0.06042319,0.002015306,0.07386363
-5.794133583,49.8115825,0.059684373,0.002069981,0.090252705
-5.704302054,49.8115825,0.058211263,0.002161648,-0.034773447
-5.614470526,49.8115825,0.057449818,0.002277343,0.007915568
-5.524638997,49.8115825,0.055122934,0.002445407,-0.029779058
-5.434807469,49.8115825,0.05582757,0.002741934,-0.032015067
-5.344975941,49.8115825,0.057035536,0.002526153,-0.025210084
-5.255144412,49.8115825,0.05530992,0.002351088,-0.04145937
-5.165312884,49.8115825,0.053686924,0.002251572,-0.037671234
-5.075481355,49.8115825,0.052459165,0.002180544,0.00106383
-4.985649827,49.8115825,0.049541615,0.002045068,0.03688076
-4.895818298,49.8115825,0.051331133,0.002133247,-0.02021773
-4.80598677,49.8115825,0.049262878,0.002108347,-0.009708738
-4.716155242,49.8115825,0.048381027,0.002119192,-0.01091703
-4.626323713,49.8115825,0.04478444,0.002092335,0.002398082
-4.536492185,49.8115825,0.043819185,0.002102602,0.018922852
-4.446660656,49.8115825,0.040854704,0.002062325,0.03249814
-4.356829128,49.8115825,0.038460847,0.002268686,0.011604701
-4.2669976,49.8115825,0.037194226,0.002686889,0.004608295
-4.177166071,49.8115825,0.041236155,0.001903658,0.005523212
-4.087334543,49.8115825,0.043476246,0.002062995,0.007074655
-3.997503014,49.8115825,0.047687475,0.00207828,0.00815162
-3.907671486,49.8115825,0.049017895,0.002091029,0.009681881
-3.817839958,49.8115825,0.043330092,0.002016025,0.007362658
-3.728008429,49.8115825,0.04472094,0.002020005,-0.000654022
-3.638176901,49.8115825,0.040372577,0.001742431,0.021023126
-3.548345372,49.8115825,0.041767642,0.002678188,0.022861546
-3.458513844,49.8115825,0.065997235,0.00420262,0.05456813
-3.368682315,49.8115825,0.045438386,0.002218115,0.027208805
-3.278850787,49.8115825,0.0449442,0.002083508,0.03528953
-3.189019259,49.8115825,0.05045116,0.002173199,0.021598877
-3.09918773,49.8115825,0.055473976,0.002336294,-0.001386194
-3.009356202,49.8115825,0.05644186,0.002289065,0.020004598
-2.919524673,49.8115825,0.052869573,0.002071247,-0.013003734
-2.829693145,49.8115825,0.040461782,0.001716938,0.04474829
-2.739861617,49.8115825,0.045542136,0.001981569,-0.031559963
-2.650030088,49.8115825,0.04279004,0.0019034,0.030667469
-2.56019856,49.8115825,0.04305717,0.002240712,0.013391965
-2.470367031,49.8115825,0.042112697,0.002147312,0.12209889
-2.380535503,49.8115825,0.03935817,0.002349604,0.01659529
-2.290703975,49.8115825,0.041825205,0.002589487,-0.046495955
-2.200872446,49.8115825,0.049998596,0.00262422,-0.021516114
-2.111040918,49.8115825,0.05279597,0.00244156,0.01668653
-2.021209389,49.8115825,0.051370323,0.002577835,0.003932584
-1.931377861,49.8115825,0.049688198,0.002534358,0.012434818
-1.841546332,49.8115825,0.05212291,0.002324498,0.004395991
-1.751714804,49.8115825,0.05057636,0.002270897,0.037037037
-1.661883276,49.8115825,0.04417189,0.001937667,0.019630596
-1.572051747,49.8115825,0.041576933,0.00187746,0.001364789
-1.482220219,49.8115825,0.040841527,0.001781853,0
-1.39238869,49.8115825,0.042604703,0.001788637,0.07170356
-1.302557162,49.8115825,0.047585294,0.001812928,-0.025641026
-1.212725634,49.8115825,0.053826552,0.002036857,-0.002087683
-1.122894105,49.8115825,1.41E-05,0.002734842,-0.026584154
-1.033062577,49.8115825,0.0715271,0.002553993,-0.01878287
-0.943231048,49.8115825,0.06688632,0.002432266,-0.025222834
-0.85339952,49.8115825,0.068450384,0.002503553,-0.007410701
-0.763567992,49.8115825,0.065664865,0.002618219,-0.00770878
-0.673736463,49.8115825,0.06017952,0.002510955,-0.012355212
-0.583904935,49.8115825,0.062164813,0.002670305,-0.010256411
-0.494073406,49.8115825,0.065093875,0.002883343,0.005610098
-0.404241878,49.8115825,0.05799867,0.002829426,-0.026974952
-0.314410349,49.8115825,0.055627078,0.002558073,-0.015425104
-0.224578821,49.8115825,0.059344865,0.002535268,-0.012300572
-0.134747293,49.8115825,0.053106967,0.002115394,0.012048192
-0.044915764,49.8115825,0.053687498,0.002309255,-0.024773575
0.044915764,49.8115825,0.055429887,0.002493735,-0.028106917
0.134747293,49.8115825,0.06026391,0.002672467,-0.035151515
0.224578821,49.8115825,0.058322586,0.00271865,-0.018565709
0.314410349,49.8115825,0.051007494,0.002450744,-0.015914623
0.404241878,49.8115825,0.045075696,0.002454893,-0.02681202
0.494073406,49.8115825,0.21461628,0.024889683,-0.003633061
0.583904935,49.8115825,0.12837404,0.025372047,0.06754634
0.673736463,49.8115825,0.10309395,0.018976899,0.24552353
0.763567992,49.8115825,0.10522494,0.022335222,0.21430138
0.85339952,49.8115825,0.13184407,0.0213124,0.31068212
0.943231048,49.8115825,0.14452326,0.035624057,0.1381687
1.033062577,49.8115825,0.12940131,0.021146137,0.47802788
1.122894105,49.8115825,0.15879835,0.024289109,0.052566227
1.212725634,49.8115825,0.15180697,0.048383616,0.006440678
1.302557162,49.8115825,0.13146138,0.024860935,0.037823647
1.39238869,49.8115825,0.124959275,0.026920201,0.03821656
1.482220219,49.8115825,0.12586883,0.025349481,0.14722791
1.572051747,49.8115825,0.13067265,0.024035633,0.16407001
1.661883276,49.8115825,0.14160594,0.028602064,0.25680846
1.751714804,49.8115825,0.17385814,0.030008614,0.32552084
1.841546332,49.8115825,0.13046807,0.024081856,0.23361008
1.931377861,49.8115825,0.055378027,0.009621135,0.31281242
2.021209389,49.8115825,0.11614115,0.022646677,0.43830702
-7.680595679,49.90141403,0.16286422,0.003423946,0.041348856
-7.590764151,49.90141403,0.15556571,0.003201245,0.034551494
-7.500932622,49.90141403,0.14502561,0.003211004,0.038402457
-7.411101094,49.90141403,0.14165609,0.003314066,0.042138215
-7.321269566,49.90141403,0.13914269,0.003383192,0.04481793
-7.231438037,49.90141403,0.13340886,0.003377178,0.019839594
-7.141606509,49.90141403,0.13005584,0.003468802,0.033203125
-7.05177498,49.90141403,0.12343311,0.003245473,0.06732813
-6.961943452,49.90141403,0.1121296,0.003026906,0.070866145
-6.872111924,49.90141403,0.10366357,0.002812147,0.03287671
-6.782280395,49.90141403,0.096446835,0.002965606,0.027960526
-6.692448867,49.90141403,0.08811019,0.003035642,0.02459893
-6.602617338,49.90141403,0.08046049,0.003289668,0.01994302
-6.51278581,49.90141403,0.07971287,0.002985114,0.0186824
-6.422954281,49.90141403,0.075641654,0.002928223,-0.011682243
-6.333122753,49.90141403,0.07879588,0.006997785,-0.027027028
-6.243291225,49.90141403,0.07442217,0.002782766,0.02793296
-6.153459696,49.90141403,0.07141979,0.002415985,0.01858736
-6.063628168,49.90141403,0.066703215,0.002192064,0
-5.973796639,49.90141403,0.065933496,0.002243704,0.06422018
-5.883965111,49.90141403,0.06391982,0.002257511,0.04109589
-5.794133583,49.90141403,0.061586436,0.00221308,0.018604651
-5.704302054,49.90141403,0.059893012,0.002163292,-0.014897579
-5.614470526,49.90141403,0.05552887,0.002119935,0.03016874
-5.524638997,49.90141403,0.053410403,0.002385824,-0.033451956
-5.434807469,49.90141403,0.051832784,0.002582542,-0.05900621
-5.344975941,49.90141403,0.051699467,0.002339952,0.024266172
-5.255144412,49.90141403,0.05420446,0.002323425,-0.04117647
-5.165312884,49.90141403,0.051215596,0.002180394,-0.01270903
-5.075481355,49.90141403,0.049158834,0.001964442,0.00805153
-4.985649827,49.90141403,0.04697884,0.0018042,-0.02183406
-4.895818298,49.90141403,0.044844747,0.001887473,0.003472222
-4.80598677,49.90141403,0.04322,0.00183302,-0.008178439
-4.716155242,49.90141403,0.04338491,0.001981733,-0.011820331
