DATE_TIME,SITE_ID,VWC,VV,VH,NDVI,longitude,latitude
30-Dec-17,ALIC1,37.1,0.152682818,0.049223558,0.341767637,-0.858232,51.153551
30-Dec-17,BALRD,34.1,0.106448538,0.012903797,0.259150407,-3.1114881,56.482297
30-Dec-17,BICKL,36.5,0.079573638,0.02145508,0.635487026,-2.7005297,53.02635
30-Dec-17,BUNNY,25.8,0.140206534,0.007463506,0.258246817,-1.12685,52.86073
30-Dec-17,CARDT,27.1,0.040818693,0.008960717,0.324702946,-0.424644,52.105601
30-Dec-17,CGARW,55.1,0.064171397,0.014444428,0.300189578,-4.746634,51.951295
30-Dec-17,CHIMN,39.7,0.059922593,0.01965466,0.256291976,-1.4787658,51.708021
30-Dec-17,CHOBH,59,0.047859715,0.014686992,0.206426734,-0.597484,51.367821
30-Dec-17,COCHN,48.1,0.126445233,0.022098489,0.16677086,-4.4035431,55.941421
30-Dec-17,COCLP,51.4,0.07951414,0.017479039,0.59839656,-1.6943736,55.216013
30-Dec-17,CRICH,48.3,0.118644792,0.025637915,0.453220074,-3.583386,55.043057
30-Dec-17,EASTB,39,0.061907679,0.009650392,0.291281842,-3.207115,55.867392
30-Dec-17,ELMST,40.4,0.183053652,0.031592125,0.223620064,0.9930645,52.094647
30-Dec-17,EUSTN,23.3,0.054174688,0.011079628,0.282873062,0.7847112,52.383178
30-Dec-17,FINCH,30.7,0.111725125,0.016138729,0.263111019,0.5107284,52.617773
30-Dec-17,GISBN,61.5,0.108975997,0.030673069,0.243824894,-2.384689,54.023711
30-Dec-17,GLENS,42.1,0.040040807,0.010515841,0.076151036,-2.5621547,56.914403
30-Dec-17,GLENW,60.3,0.08935472,0.019236887,0.150995785,-6.0045994,54.838087
30-Dec-17,HADLW,40,0.072338243,0.015683772,0.310907623,0.320276,51.228582
30-Dec-17,HARTW,61.8,0.090328924,0.017226737,0.218011667,-3.828995,55.810254
30-Dec-17,HARWD,90.6,0.115036121,0.030113237,0.247603384,-2.025488,55.216677
30-Dec-17,HENFS,54.1,0.049310184,0.011083264,0.188742819,-4.01255,53.225198
30-Dec-17,HILLB,50.3,0.077570799,0.019600081,0.247213872,-6.068526,54.446959
30-Dec-17,HOLLN,52.9,0.061293159,0.016396183,0.393764307,-0.959477,54.110665
30-Dec-17,HYBRY,40.6,0.057852942,0.012131029,0.339455787,-2.079616,51.20277
30-Dec-17,LIZRD,64.7,0.094212322,0.014776177,0.068934475,-5.19999,50.03266
30-Dec-17,LODTN,55.9,0.130452783,0.025013646,0.109623981,-0.8264188,52.610159
30-Dec-17,LULLN,40.6,0.072006201,0.019408759,0.191001013,0.18887,50.79372
30-Dec-17,MOORH,77.4,0.049709004,0.009702458,0.043391522,-2.4678,54.659417
30-Dec-17,MORLY,31.8,0.10190634,0.031502011,0.219550103,1.0342313,52.548146
30-Dec-17,NWYKE,57,0.094481268,0.020054089,0.154513271,-3.905963,50.773479
30-Dec-17,PLYNL,54.4,0.089424497,0.02070957,0.025826876,-3.762572,52.453337
30-Dec-17,PORTN,43.3,0.040922,0.006358076,0.297919348,-1.681482,51.120071
30-Dec-17,RDMER,65.4,0.266590706,0.031157329,0.140941086,0.42104,52.44577
30-Dec-17,REDHL,29.6,0.080700873,0.028737468,0.213926863,0.4291348,51.26287
30-Dec-17,RISEH,36.2,0.063302637,0.011238467,0.478186719,-0.5259074,53.261647
30-Dec-17,ROTHD,34.1,0.206420869,0.025042947,0.250108093,-0.378304,51.813787
30-Dec-17,SHEEP,45.5,0.090510654,0.014569335,0.251240019,-1.481903,51.530244
30-Dec-17,SOURH,54.1,0.08963664,0.019286992,0.070097335,-2.229989,55.479876
30-Dec-17,SPENF,32.4,0.108060787,0.021721548,0.327629034,-1.31886,53.86886
30-Dec-17,STGHT,39.8,0.17692259,0.028068098,0.242253922,-1.047046,52.601667
30-Dec-17,STIPS,69.2,0.070651861,0.014568734,0.557991569,-2.9446865,52.581248
30-Dec-17,TADHM,66.4,0.072236064,0.014634846,0.170545811,-2.82881,51.207417
30-Dec-17,WADDN,41.1,0.053066098,0.012891266,0.316788683,-0.948405,51.839436
30-Dec-17,WRTTL,48.3,0.081016904,0.015959717,0.353646218,0.417923,51.733896
