Date,longitude,latitude,VV,VH,NDVI
30/12/2017,-1.164123134,53.25304606,0.14350167,0.030400269,0.24280442
30/12/2017,-1.149173897,53.25356814,0.09242062,0.020998934,0.24280442
30/12/2017,-1.134224195,53.25408836,0.13275865,0.031450104,0.24280442
30/12/2017,-1.119274029,53.25460671,0.1478392,0.036399815,0.24280442
30/12/2017,-1.104323402,53.25512318,0.10582392,0.03316811,0.24280442
30/12/2017,-1.089372315,53.25563778,0.13622342,0.02215971,0.21493994
30/12/2017,-1.07442077,53.25615051,0.13089883,0.04247083,0.21493994
30/12/2017,-1.059468768,53.25666137,0.10097133,0.032642517,0.21493994
30/12/2017,-1.044516311,53.25717036,0.106214404,0.037165433,0.21493994
30/12/2017,-1.0295634,53.25767748,0.106237195,0.038265094,0.21493994
30/12/2017,-1.014610038,53.25818272,0.13097472,0.02573056,0.21493994
30/12/2017,-1.163251264,53.24408075,0.12422746,0.021949759,0.24280442
30/12/2017,-1.148305135,53.24460267,0.12613156,0.026438523,0.24280442
30/12/2017,-1.133358541,53.24512271,0.10349717,0.020563878,0.24280442
30/12/2017,-1.118411484,53.24564089,0.11464037,0.03679695,0.24280442
30/12/2017,-1.103463966,53.2461572,0.125075,0.028883753,0.24280442
30/12/2017,-1.088515988,53.24667163,0.092052855,0.035505,0.24280442
30/12/2017,-1.073567553,53.2471842,0.109220795,0.040826336,0.21493994
30/12/2017,-1.058618661,53.24769489,0.1236032,0.047350243,0.21493994
30/12/2017,-1.043669314,53.24820372,0.116760686,0.036882468,0.21493994
30/12/2017,-1.028719514,53.24871067,0.11307925,0.032345843,0.21493994
30/12/2017,-1.013769263,53.24921575,0.09969665,0.02068349,0.21493994
30/12/2017,-0.998818563,53.24971896,0.12900552,0.021308031,0.21493994
30/12/2017,-0.983867414,53.25022029,0.13552774,0.026514519,0.21493994
30/12/2017,-0.968915819,53.25071976,0.11737829,0.024901517,0.21493994
30/12/2017,-0.953963779,53.25121735,0.10689117,0.028318852,0.21493994
30/12/2017,-0.939011296,53.25171307,0.112066165,0.020548189,0.21493994
30/12/2017,-0.924058372,53.25220692,0.15093514,0.02746663,0.21493994
30/12/2017,-0.909105007,53.2526989,0.12250737,0.026583964,0.21493994
30/12/2017,-0.894151205,53.253189,0.16725627,0.033676308,0.21493994
30/12/2017,-0.879196966,53.25367724,0.16029215,0.02093118,0.21493994
30/12/2017,-0.864242292,53.2541636,0.1781966,0.03134634,0.21493994
30/12/2017,-0.849287186,53.25464808,0.16814166,0.030148223,0.21493994
30/12/2017,-0.834331647,53.2551307,0.15596868,0.026754927,0.21493994
30/12/2017,-0.819375679,53.25561144,0.12262663,0.025146673,0.21493994
30/12/2017,-0.804419282,53.25609031,0.17560741,0.02657798,0.21493994
30/12/2017,-0.789462459,53.2565673,0.2520786,0.031188449,0.21493994
30/12/2017,-0.774505211,53.25704242,0.08992066,0.017764227,0.21493994
30/12/2017,-0.75954754,53.25751567,0.1620419,0.030556727,0.21493994
30/12/2017,-0.744589447,53.25798704,0.11909605,0.024480734,0.21493994
30/12/2017,-0.729630935,53.25845654,0.1370528,0.03128325,0.21493994
30/12/2017,-0.714672004,53.25892417,0.07690987,0.016935172,0.21493994
30/12/2017,-0.699712656,53.25938992,0.09882343,0.020852124,0.21493994
30/12/2017,-1.16237986,53.23511542,0.10052456,0.019894652,0.24280442
30/12/2017,-1.147436837,53.23563717,0.09603848,0.020574003,0.24280442
30/12/2017,-1.13249335,53.23615705,0.16359475,0.025545131,0.24280442
30/12/2017,-1.1175494,53.23667506,0.11199382,0.036245298,0.24280442
30/12/2017,-1.102604989,53.23719119,0.078963034,0.025127787,0.24280442
30/12/2017,-1.087660119,53.23770546,0.10270561,0.036546517,0.24280442
30/12/2017,-1.072714792,53.23821786,0.108236656,0.038171593,0.24280442
30/12/2017,-1.057769008,53.23872839,0.115269385,0.03871775,0.21493994
30/12/2017,-1.04282277,53.23923705,0.13450211,0.026792249,0.21493994
30/12/2017,-1.02787608,53.23974383,0.1328072,0.029679488,0.21493994
30/12/2017,-1.012928938,53.24024875,0.106234424,0.033538774,0.21493994
30/12/2017,-0.997981347,53.2407518,0.12578373,0.024650455,0.21493994
